title,feature,date
Funny Got Data MIS Data Systems Business Analyst T-Shirt,"Solid colors: 100% Cotton; Heather Grey: 90% Cotton, 10% Polyester; All Other Heathers: 50% Cotton, 50% Polyester,Imported,Pull On closure,Machine Wash,'Funny Got Data MIS Data Systems Business Analyst' is a funny pickup perfect for people interested in MIS and data systems who works in IT or data consulting! Any business analyst or consultant that works with big data will love it!,Lightweight, Classic fit, Double-needle sleeve and bottom hem",2022-12-27
"Sparx Men's Running Shoe, Dark Grey Neon Orange, 7 UK, SX0648GDGNO0007","Sole: Ethylene Vinyl Acetate,Closure: Pull On,Fit Type: Regular,Shoe Width: Medium,Light Weight,Breathable,Flexible",2022-12-27
